,Name,Author,Price(£)
0,No Plan B,Lee Child,10.43
1,Blood Meridian,Cormac McCarthy,9.99
2,Harry Potter and the Cursed Child - Parts One and Two,J.K. Rowling,9.99
3,The Giver of Stars,Jojo Moyes,9.99
4,Fire and Blood,George R.R. Martin,9.99
5,Black Butterflies,Priscilla Morris,9.99
6,The Challenge,Danielle Steel,9.43
7,With a Mind to Kill,Anthony Horowitz,8.99
8,The Pillars of the Earth,Ken Follett,12.99
9,Nemesis,Wilbur Smith,22.00
10,Rebellion (Eagles of Empire 22),Simon Scarrow,22.00
11,Dark Tides,Philippa Gregory,8.99
12,Empire,Conn Iggulden,22.00
13,Better Off Dead,Lee Child,9.99
14,Never,Ken Follett,9.99
15,The White Knight,Scott Mariani,8.99
16,Lion,Conn Iggulden,9.83
17,Death to the Emperor,Simon Scarrow,9.83
18,Stop Drinking Now,Allen Carr,9.99
19,The Silmarillion,J. R. R. Tolkien,9.99
20,Red Rising,Pierce Brown,9.99
21,The Old Man and the Sea,Ernest Hemingway,7.99
22,Once Upon a Time in Hollywood,Quentin Tarantino,8.99
23,Great Circle,Maggie Shipstead,9.99
24,A Game of Thrones,George R.R. Martin,9.99
25,The Honour of Rome (Eagles of the Empire 19),Simon Scarrow,9.99
26,The Curious Incident of the Dog in the Night-time,Mark Haddon,8.99
27,Project Hail Mary,Andy Weir,10.43
28,Dead Man's Grave,Neil Lancaster,8.99
29,War Lord,Bernard Cornwell,9.99
30,A Clash of Kings,George R.R. Martin,9.99
31,The New Kingdom,Wilbur Smith,8.99
32,The Burning Chambers,Kate Mosse,9.99
33,Jaws,Peter Benchley,9.99
34,The Prisoner's Wife,Ali Blood,7.99
35,Lionheart,Ben Kane,7.99
36,Echoes of Eternity,Aaron Dembski-Bowden,12.99
37,Master of Furies,Raymond E. Feist,10.43
38,"Warrior: The epic story of Caratacus, warrior Briton and enemy of the Roman Empire...",Simon Scarrow,22.00
39,Falling,T. J. Newman,8.99
40,The Other Side of Mrs Wood,Lucy Barker,14.99
41,Sharpe's Assassin,Bernard Cornwell,8.99
42,The Stranger in the Lifeboat,Mitch Albom,9.99
43,The Last Orphan,Gregg Hurwitz,14.99
44,The Evening and the Morning,Ken Follett,10.99
45,Forever and a Day,Anthony Horowitz,9.99
46,The Wisteria Society of Lady Scoundrels,India Holton,9.99
47,Godkiller,Hannah Kaner,16.99
48,Journey to the River Sea,Eva Ibbotson,7.99
49,Manhunter,Chris Ryan,8.99
50,Artemis,Andy Weir,9.99
51,Sharpe's Command,Bernard Cornwell,22.00
52,The Gates of Athens,Conn Iggulden,9.99
53,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,9.99
54,World Without End,Ken Follett,12.99
55,The Foundling,Stacey Halls,8.99
56,For Whom the Bell Tolls,Ernest Hemingway,8.99
57,Shogun,James Clavell,12.99
58,Storm Tide,Wilbur Smith,9.99
59,A Wild & True Relation,Kim Sherwood,18.99
60,The Alice Network,Kate Quinn,11.03
61,The Sentinel,Lee Child,8.99
62,"The Long Way to a Small, Angry Planet",Becky Chambers,9.99
63,Fantastic Beasts: The Secrets of Dumbledore - The Complete Screenplay,J.K. Rowling,20.00
64,The Temple of Skulls (Wilde/Chase 16),Andy McDermott,10.99
65,Last Argument Of Kings,Joe Abercrombie,10.43
66,Krieg,Steve Lyons,9.83
67,Protector,Conn Iggulden,9.99
68,A Storm of Swords: Part 2 Blood and Gold,George R.R. Martin,10.43
69,Hands Down,Felix Francis,9.99
70,The City of Tears,Kate Mosse,8.99
71,Oath of Loyalty,Vince Flynn,9.99
72,Before They Are Hanged,Joe Abercrombie,10.43
73,Call of the Penguins,Hazel Prior,10.14
74,A Feast for Crows,George R.R. Martin,10.43
75,A Knight of the Seven Kingdoms,George R.R. Martin,10.43
76,Master and Commander,Patrick O'Brian,9.99
77,Frostgrave: The Wildwoods,Mr Joseph A. McCullough,20.00
78,The Night Ship,Jess Kidd,10.21
79,Harry Potter and the Cursed Child - Parts One and Two (Special Rehearsal Edition),J.K. Rowling,20.00
80,Autopsy,Patricia Cornwell,8.99
