,Product_Name,Product_Price,Product_Size
0,Super Milk,$22.00, 3.3 fl. oz.
1,Big,$15.00, 4 oz.
2,Revive,$28.00, 3.5 oz.
3,Candy Rain,$14.00, 3.3 fl. oz.
4,Fairly Traded Honey,$16.00, 3.3 fl. oz.
5,Honey I Washed My Hair,$15.00, 1.9 oz.
6,American Cream,$13.00, 3.3 fl. oz.
7,Rehab,$15.00, 3.3 fl. oz.
8,Curl Power,$18.00, 3.3 oz.
9,Montalbano,$15.00, 1.9 oz.
10,Wasabi Shan Kui,$16.00, 3.3 fl. oz.
11,New,$15.00, 1.9 oz.
12,Glory,$15.00, 3.3 oz.
13,Power,$15.00, 3.3 oz.
14,Veganese,$13.00, 3.5 oz.
15,Soak and Float,$16.00, 1.9 oz.
16,Jason And The Argan Oil,$15.00, 1.9 oz.
17,Dirty,$20.00, 3.5 oz.
18,Roots,$27.50, 7.9 oz.
19,Daddy-O,$13.00, 3.3 fl. Oz.
20,Sea Spray,$20.00, 3.3 fl. oz.
21,Retread,$17.00, 3.5 fl. oz.
22,Godiva,$15.00, 1.9 oz.
23,Jasmine And Henna,$31.00, 7.8 oz.
24,Big,$16.00, 2.4 oz.
25,Flyway Hair,$15.00, 1.9 oz.
26,Angel Hair,$15.00, 1.9 oz.
27,Coconut Rice Cake,$15.00, 1.9 oz.
28,Renee´s Shea Souffle,$18.00, 3.1 oz.
29,American Cream,$16.00, 1.9 oz.
30,Avocado,$19.00, 3.5 oz.
31,Happy Happy Joy Joy,$17.00, 3.3 fl. oz.
32,Rouge,$30.00, 11.4 oz.
33,Marilyn,$27.50, 7.9 oz.
34,No Drought,$10.00, 1.7 oz.
35,H'Suan Wen Hua,$28.00, 7.9 oz.
36,Round Tin,$5.00, 0.35 oz.
37,The Golden Cap,$16.00, 2.2 oz.
38,Superbalm,$29.00, 1.5 oz.
39,Wig,$20.00, 3.5 oz.
40,Infra Wig,$20.00, 3.5 oz.
41,Cork Pot,$20.00, 1.05 oz.
42,Jumping Juniper,$15.00, 1.9 oz.
43,Noir,$30.00, 11.4 oz.
44,Punkawalop,$13.00, 1.5 oz.
45,Marron,$30.00, 11.4 oz.
46,Brun,$30.00, 11.4 oz.
47,Venitien,$30.00, 11.4 oz.
48,H.O.T.,$14.00, 0.7 oz.
49,Henna Hair Wrap,$20.00, 0.4 oz.
50,Seanik,$15.00, 1.9 oz.
51,Tint Brush,$10.00, 0.78 oz.
52,Gains,$23.00, 3.3 fl. oz.
53,The Shining Shine Spray,$3.00, 0.4 oz.
54,True Colours,$50.00, 24.1 oz.
55,The Shining,$22.00, 6 fl. oz.
